Total inference time: 6348.06 seconds              precision    recall  f1-score   support

           0       0.33      0.80      0.46        20
           1       0.62      0.40      0.48        20
           2       0.88      0.75      0.81        20
           3       0.38      0.45      0.41        20
           4       0.50      0.05      0.09        20
           5       0.80      0.60      0.69        20

    accuracy                           0.51       120
   macro avg       0.58      0.51      0.49       120
weighted avg       0.58      0.51      0.49       120
