Total inference time: 9009.10 seconds              precision    recall  f1-score   support

           0       0.32      0.75      0.45        20
           1       0.54      0.35      0.42        20
           2       0.79      0.75      0.77        20
           3       0.41      0.55      0.47        20
           4       0.50      0.05      0.09        20
           5       0.83      0.50      0.62        20

    accuracy                           0.49       120
   macro avg       0.56      0.49      0.47       120
weighted avg       0.56      0.49      0.47       120
