Total inference time: 7852.67 seconds              precision    recall  f1-score   support

           0       0.29      0.95      0.44        20
           1       0.64      0.35      0.45        20
           2       0.88      0.70      0.78        20
           3       0.38      0.30      0.33        20
           4       1.00      0.05      0.10        20
           5       0.80      0.40      0.53        20

    accuracy                           0.46       120
   macro avg       0.66      0.46      0.44       120
weighted avg       0.66      0.46      0.44       120
